Website,Snapshot date,Airline,Price,TTT,LOS,Origin,Destination,Departure date,Departure Airport,Departure Time,Layover,Stops,Return date,Arrival Airport,Arrival Time,Duration
Kayak Flights,2025-03-05,easyJet,181,2,1,LON,ROM,2025-03-07,LGW,6:45 am,0.0,nonstop,2025-03-08,FCO,10:15 am,2.5
Kayak Flights,2025-03-05,Jet2,131,1,2,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-08,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,131,1,2,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-08,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,135,1,2,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-08,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,161,1,2,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-08,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,184,1,2,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-08,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Wizz Air,138,2,5,LON,ROM,2025-03-07,LGW,9:10 am,0.0,nonstop,2025-03-12,FCO,12:40 pm,2.5
Kayak Flights,2025-03-05,Wizz Air,138,2,5,LON,ROM,2025-03-07,LGW,9:10 am,0.0,nonstop,2025-03-12,FCO,12:40 pm,2.5
Kayak Flights,2025-03-05,Wizz Air,138,2,5,LON,ROM,2025-03-07,LGW,9:10 am,0.0,nonstop,2025-03-12,FCO,12:40 pm,2.5
Kayak Flights,2025-03-05,Wizz Air,138,2,5,LON,ROM,2025-03-07,LGW,9:10 am,0.0,nonstop,2025-03-12,FCO,12:40 pm,2.5
Kayak Flights,2025-03-05,easyJet,139,2,5,LON,ROM,2025-03-07,LGW,6:45 am,0.0,nonstop,2025-03-12,FCO,10:15 am,2.5
Kayak Flights,2025-03-05,easyJet,139,2,5,LON,ROM,2025-03-07,LGW,6:45 am,0.0,nonstop,2025-03-12,FCO,10:15 am,2.5
Kayak Flights,2025-03-05,easyJet,139,2,5,LON,ROM,2025-03-07,LGW,6:45 am,0.0,nonstop,2025-03-12,FCO,10:15 am,2.5
Kayak Flights,2025-03-05,easyJet,139,2,5,LON,ROM,2025-03-07,LGW,6:45 am,0.0,nonstop,2025-03-12,FCO,10:15 am,2.5
Kayak Flights,2025-03-05,Vueling,145,2,5,LON,ROM,2025-03-07,LGW,9:20 am,0.0,nonstop,2025-03-12,FCO,12:50 pm,2.5
Kayak Flights,2025-03-05,easyJet,167,2,5,LON,ROM,2025-03-07,LGW,6:45 am,0.0,nonstop,2025-03-12,FCO,10:15 am,2.5
Kayak Flights,2025-03-05,Wizz Air,152,2,5,LON,ROM,2025-03-07,LGW,9:10 am,0.0,nonstop,2025-03-12,FCO,12:40 pm,2.5
Kayak Flights,2025-03-05,Vueling,145,2,5,LON,ROM,2025-03-07,LGW,9:20 am,0.0,nonstop,2025-03-12,FCO,12:50 pm,2.5
Kayak Flights,2025-03-05,Vueling,145,2,5,LON,ROM,2025-03-07,LGW,9:20 am,0.0,nonstop,2025-03-12,FCO,12:50 pm,2.5
Kayak Flights,2025-03-05,Vueling,145,2,5,LON,ROM,2025-03-07,LGW,9:20 am,0.0,nonstop,2025-03-12,FCO,12:50 pm,2.5
Kayak Flights,2025-03-05,Wizz Air,147,2,5,LON,ROM,2025-03-07,LGW,9:10 am,0.0,nonstop,2025-03-12,FCO,12:40 pm,2.5
Kayak Flights,2025-03-05,Jet2,137,1,4,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-10,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,133,1,4,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-10,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,163,1,4,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-10,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,154,1,4,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-10,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Wizz Air,163,1,4,LON,ROM,2025-03-06,LGW,9:10 am,0.0,nonstop,2025-03-10,FCO,12:40 pm,2.5
Kayak Flights,2025-03-05,Jet2,156,1,4,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-10,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,105,1,5,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-11,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,92,1,5,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-11,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,105,1,5,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-11,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Jet2,108,1,5,LON,ROM,2025-03-06,STN,8:15 am,0.0,nonstop,2025-03-11,FCO,11:45 am,2.5
Kayak Flights,2025-03-05,Vueling,120,1,5,LON,ROM,2025-03-06,LGW,9:20 am,0.0,nonstop,2025-03-11,FCO,12:50 pm,2.5
